qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins,water_stable
qmof-51eaa24,ACOLUB_FSR,Cd6C128H100N8O38,Cd3C64H50N4O19,,Cd.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.sql,['[Cd]'],"['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]', 'c1ncn(c1)c1ccc(cc1)n1cncc1']",[Cd].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1,sql,280,4.88899,7.29246,1.0809216800133823,4658.849168302774,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/c2jm35273g,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1868.26366564,-17.05739,-1851.20627564,0.0,4.000191,0.764867,-2.385324,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
qmof-ba25365,BADYAJ_FSR,Tb8C192H120N48O48,TbC24H15N6O6,,,['[Tb]'],['[O-]C(=O)c1ccc(cc1)NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Tb],,416,7.1498,8.39127,0.9822439436242988,8687.268378119543,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1002/chem.201502033,PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-3027.14372837,-26.41065,-3000.7330783700004,0.0,3.66703,0.147246,-2.669784,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
qmof-051e081,BOZFAZ_FSR,Cd4C124H76N36O16,CdC31H19N9O4,[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1 MOFid-v1.pcu.cat1,Cd.PZOHHVCEVSBOLS.RXOHFPCZGPKIRD.MOFkey-v1.pcu,['[Cd]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1']",[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1,pcu,256,5.51197,6.80835,1.1025529019802789,4180.601248554762,P2/c,13,monoclinic,2/m,True,CSD,,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1826.56807701,-17.1048,-1809.46327701,0.0,3.2808740000000003,0.309901,-2.120973,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81
qmof-da3042b,COLVEE_FSR,Cu4C56Cl8H48N8O8,CuC14Cl2H12N2O2,,,,,,,132,4.50637,4.701,1.3962084671600312,1782.5974063119334,Pbcn,60,orthorhombic,mmm,True,CSD,https://doi.org/10.1021/ic00185a009,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[3, 1, 1]",True,True,-835.90365466,-10.54651,-825.35714466,2.0,1.576937,-0.135115,-0.862052,True,"[0.7755080000000001, 0.766985]","[-0.086544, -0.135115]","[-0.862052, -0.9021]","[True, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
qmof-62539f9,DOKDEN_FSR,Cu6C96H78N6O24,CuC16H13NO4,,,['[Cu][Cu]'],['[O-]C(=O)c1ccc(cc1)CNCc1ccc(cc1)C(=O)[O-]'],[Cu][Cu].[O-]C(=O)c1ccc(cc1)CNCc1ccc(cc1)C(=O)[O-],nbo,210,13.3771,15.05302,0.7054934298767875,4897.984636850736,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1039/b806616g,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,True,-1399.30222021,-12.23692,-1387.06530021,0.0,1.435902,-1.941826,-2.527728,True,"[0.5859020000000001, 0.5859390000000002]","[-1.941826, -1.941808]","[-2.527728, -2.527747]","[True, True]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
qmof-04c1119,GADMUW_FSR,Zn12C216H136N16O48,Zn3C54H34N4O12,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)[CH][N]N=Cc1ccncc1 MOFid-v1.hex.cat1,Zn.NEQFBGHQPUXOFH.XLLIUDMGQNPRJS.MOFkey-v1.hex,['[Zn]'],"['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]', 'n1ccc(cc1)[CH][N]N=Cc1ccncc1']",[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)[CH][N]N=Cc1ccncc1,hex,428,4.80458,9.07631,0.9427136357462162,7941.2629479706175,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/C5CE02036K,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-2958.82137253,-26.34422,-2932.47715253,0.0,2.582277,-0.987413,-2.71969,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81
qmof-3fb0086,IBICAZ_FSR,Zn6C66Cl6H90N12O12,ZnC11ClH15N2O2,,,['Cl[Zn]'],['CC(C(C(=O)[O-])NCc1ccncc1)C'],CC(C(C(=O)[O-])NCc1ccncc1)C.Cl[Zn],,192,9.71809,9.85227,1.08873406698925,2819.5885544247108,P6_1,169,hexagonal,6,True,CSD,https://doi.org/10.1021/ja2078637,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1156.11488163,-12.83901,-1143.27587163,0.0,3.877824,0.670064,-2.35776,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
qmof-f17dd8e,JIVFUQ_FSR,Zn2C12H12O16P4,ZnC6H6O8P2,"Oc1cc(c(cc1P(=O)(O)[O])O)P(=O)(O)[O].[Zn] MOFid-v1.pts,dmd.cat0",Zn.FBCYUUJBQGIZNU.MOFkey-v1.pts,['[Zn]'],['Oc1cc(c(cc1P(=O)(O)[O])O)P(=O)(O)[O]'],Oc1cc(c(cc1P(=O)(O)[O])O)P(=O)(O)[O].[Zn],pts,46,5.18185,6.17017,1.131778043828768,978.5121355357298,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/ic701628f,PBE-D3BJ,"['Zn 06Sep2000', 'P 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 2, 2]",True,False,-300.61243708,-2.9527,-297.65973708,0.0,3.5260890000000003,0.674358,-2.001731,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Zn 06Sep2000', 'P 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 2, 2]",False,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Zn 06Sep2000', 'P 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 2, 2]",False,False,HSE06-D3BJ//PBE-D3BJ,"['Zn 06Sep2000', 'P 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 2, 2]",False,False,-3174.0695079,0.0,-3174.0695079,0.0,3.088445,-0.779964,-3.868409,False,"[None, None]","[None, None]","[None, None]","[None, None]",-325.36765421,-2.56124,-322.80641421,0.0,3.1473890000000004,0.86141,-2.285979,True,"[None, None]","[None, None]","[None, None]","[None, None]",-363.57649704,-2.56124,-361.01525704,0.0,3.788807,1.079963,-2.708844,True,"[None, None]","[None, None]","[None, None]","[None, None]",0.79
qmof-ea9f3ea,KOSLUB_FSR,Ni6C24H6O18,NiC4HO3,,,['[Ni]'],['[O-]C(=O)c1cc(C(=O)[O-])c(cc1[O])[O]'],[Ni].[O-]C(=O)c1cc(C(=O)[O-])c(cc1[O])[O],,54,10.43769,11.55467,1.1515413113298412,1347.4961115986737,R3m,160,trigonal,3m,True,CSD,https://doi.org/10.1021/ja506230r,PBE-D3BJ,"['Ni 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[4, 2, 2]",False,True,-393.66696511,-4.3143,-389.35266511,12.0,1.3003939999999998,-1.856021,-2.306415,False,"[2.7312019999999997, 0.5490040000000003]","[0.424787, -1.856021]","[-2.306415, -2.405025]","[True, False]",HLE17//PBE-D3BJ,"['Ni 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[3, 1, 1]",True,True,HSE06-D3BJ-HF10//PBE-D3BJ,"['Ni 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[3, 1, 1]",True,True,HSE06-D3BJ//PBE-D3BJ,"['Ni 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[3, 1, 1]",True,True,-4721.18408212,0.0,-4721.18408212,12.0,0.3036989999999999,-4.06262,-4.366319,True,"[3.551546, 0.30369899999999994]","[-1.100155, -4.06262]","[-4.651701, -4.366319]","[True, True]",-428.46038539,-3.81953,-424.64085539,12.0,1.700355,-1.196701,-2.897056,False,"[3.5670520000000003, 1.7661630000000001]","[0.669996, -1.196701]","[-2.897056, -2.962864]","[True, True]",-483.2055213,-3.81953,-479.3859913,12.0,3.3276600000000003,-0.024262,-3.351922,True,"[4.384989, 3.3276600000000003]","[0.995578, -0.024262]","[-3.389411, -3.351922]","[False, True]",0.77
qmof-0da3c2d,MOF-5_cooh_2_858_3,Zn8C24H12O32,Zn2C6H3O8,[O-]C(=O)C1OC1C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.DCEMCPAKSGRHCN.MOFkey-v1.pcu,['[Zn][O]([Zn])([Zn])[Zn]'],['[O-]C(=O)C1OC1C(=O)[O-]'],[O-]C(=O)C1OC1C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],pcu,76,5.87469,8.30707,0.9034955829392042,2454.714912458893,P1,1,triclinic,1,False,Haranczyk_MOF5,https://doi.org/10.1021/jp401920y,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-494.51946085,-3.80701,-490.71245085,0.0,4.983267,-0.53633,-4.669597,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
qmof-d8224dc,MUJKAF_FSR,Cd4C80H60N28O16,CdC20H15N7O4,,,['[Cd]'],"['Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]', 'Nn1c(nnc1c1ccncc1)c1ccncc1']",Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].Nn1c(nnc1c1ccncc1)c1ccncc1.[Cd],,188,4.59992,6.84535,0.9488217654759684,3708.745728015668,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1039/C5RA08347H,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1294.63600795,-11.75089,-1282.88511795,0.0,1.82771,-0.596686,-1.574396,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71
qmof-09e46be,NIRPIQ_FSR,Al4C32H16O20,AlC8H4O5,,,"['[Al]', '[OH]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[Al].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH],,72,6.90081,7.02839,1.042048372138845,1320.057069719644,I4_122,98,tetragonal,422,True,CSD,https://doi.org/10.1002/anie.201808316,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-526.13538184,-4.79253,-521.34285184,0.0,4.204606,0.626718,-2.727888,True,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,-3257.81642834,0.0,-3257.81642834,0.0,3.504491,-0.930993,-4.435484,True,"[None, None]","[None, None]","[None, None]","[None, None]",-564.17622239,-4.06178,-560.11444239,0.0,3.754366,0.782396,-2.97197,True,"[None, None]","[None, None]","[None, None]","[None, None]",-623.01106292,-4.06178,-618.94928292,0.0,4.361890000000001,1.037325,-3.324565,True,"[None, None]","[None, None]","[None, None]","[None, None]",0.85
qmof-e0d0d89,RAXNEK_FSR,Fe2C32H28N4O12,FeC16H14N2O6,O=C1C(=O)C(=O)C1=O.[OH2][Fe][OH2].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.sql.cat1,Fe.KDAVZOLBYGNLGF.MGFJDEHFNMWYBD.MOFkey-v1.sql,['[OH2][Fe][OH2]'],"['O=C1C(=O)C(=O)C1=O', 'n1ccc(cc1)C=Cc1ccncc1']",O=C1C(=O)C(=O)C1=O.[OH2][Fe][OH2].n1ccc(cc1)C=Cc1ccncc1,sql,78,4.69864,5.46557,1.329233437506314,964.7603214810476,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1016/j.ica.2005.07.014,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 2, 1]",True,True,-527.32708269,-5.88289,-521.44419269,0.0,1.231916,0.684913,0.302997,False,"[0.381916, 0.383308]","[0.684913, 0.685925]","[0.302997, 0.302617]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76
qmof-e2d2c46,RITDAB_FSR,Cu2In2C48H32N8O16,CuInC24H16N4O8,[Cu].[In].[O-]C(=O)c1ccncc1 MOFid-v1.dia.cat1,CuIn.TWBYWOBDOCUKOW.MOFkey-v1.dia,"['[Cu]', '[In]']",['[O-]C(=O)c1ccncc1'],[Cu].[In].[O-]C(=O)c1ccncc1,dia,108,4.61287,5.62726,1.282153241980062,1727.0905403487618,Fddd,70,orthorhombic,mmm,True,CSD,https://doi.org/10.1039/C3RA41627E,PBE-D3BJ,"['In_d 06Sep2000', 'Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-748.05284196,-6.81692,-741.23592196,0.0,2.150092,0.725884,-0.574208,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86
qmof-b762ca7,SEQGUR_FSR,Zn4C44H40N16O20S4,ZnC11H10N4O5S,O=C(Nc1ccncc1)Nc1ccncc1.[O]S(=O)(=O)[O].[Zn] MOFid-v1.sql.cat1,Zn.DRQBAJRMFBIZMF.QRRGJASIECDXQW.MOFkey-v1.sql,['[Zn]'],"['O=C(Nc1ccncc1)Nc1ccncc1', '[O]S(=O)(=O)[O]']",O=C(Nc1ccncc1)Nc1ccncc1.[O]S(=O)(=O)[O].[Zn],sql,128,4.66288,5.22432,1.3427038345788778,1858.506820360857,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1039/b612163m,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[5, 1, 1]",True,False,-852.1253946,-9.78793,-842.3374646000001,0.0,4.112176,1.375292,-1.886884,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
